,classe,annee,Code.région,faits
187,Coups et blessures volontaires,18,27,9071
188,Coups et blessures volontaires,18,28,10448
189,Coups et blessures volontaires,18,32,25383
190,Coups et blessures volontaires,18,44,18361
191,Coups et blessures volontaires,18,52,10283
192,Coups et blessures volontaires,18,53,8561
193,Coups et blessures volontaires,18,75,16752
194,Coups et blessures volontaires,18,76,19794
195,Coups et blessures volontaires,18,84,25074
196,Coups et blessures volontaires,18,93,21211
197,Coups et blessures volontaires,18,94,965
198,Coups et blessures volontaires,19,1,2682
199,Coups et blessures volontaires,19,2,2278
200,Coups et blessures volontaires,19,3,2244
201,Coups et blessures volontaires,19,4,4596
202,Coups et blessures volontaires,19,6,1573
203,Coups et blessures volontaires,19,11,51440
204,Coups et blessures volontaires,19,24,8312
205,Coups et blessures volontaires,19,27,9308
206,Coups et blessures volontaires,19,28,10992
207,Coups et blessures volontaires,19,32,27110
208,Coups et blessures volontaires,19,44,19800
209,Coups et blessures volontaires,19,52,11207
210,Coups et blessures volontaires,19,53,9465
211,Coups et blessures volontaires,19,75,18379
212,Coups et blessures volontaires,19,76,21245
213,Coups et blessures volontaires,19,84,27264
214,Coups et blessures volontaires,19,93,22766
215,Coups et blessures volontaires,19,94,1121
216,Coups et blessures volontaires,20,1,2904
217,Coups et blessures volontaires,20,2,2290
218,Coups et blessures volontaires,20,3,2358
219,Coups et blessures volontaires,20,4,4832
220,Coups et blessures volontaires,20,6,1467
221,Coups et blessures volontaires,20,11,50627
222,Coups et blessures volontaires,20,24,8420
223,Coups et blessures volontaires,20,27,9437
224,Coups et blessures volontaires,20,28,10501
225,Coups et blessures volontaires,20,32,26422
226,Coups et blessures volontaires,20,44,19541
227,Coups et blessures volontaires,20,52,11628
228,Coups et blessures volontaires,20,53,10462
229,Coups et blessures volontaires,20,75,18786
230,Coups et blessures volontaires,20,76,21700
231,Coups et blessures volontaires,20,84,27171
232,Coups et blessures volontaires,20,93,22684
233,Coups et blessures volontaires,20,94,1166
234,Coups et blessures volontaires,21,1,2985
235,Coups et blessures volontaires,21,2,2588
236,Coups et blessures volontaires,21,3,2714
237,Coups et blessures volontaires,21,4,5358
238,Coups et blessures volontaires,21,6,1685
239,Coups et blessures volontaires,21,11,55064
240,Coups et blessures volontaires,21,24,9234
241,Coups et blessures volontaires,21,27,10210
242,Coups et blessures volontaires,21,28,12442
243,Coups et blessures volontaires,21,32,30300
244,Coups et blessures volontaires,21,44,22581
245,Coups et blessures volontaires,21,52,12223
246,Coups et blessures volontaires,21,53,10489
247,Coups et blessures volontaires,21,75,21496
248,Coups et blessures volontaires,21,76,23423
249,Coups et blessures volontaires,21,84,30385
250,Coups et blessures volontaires,21,93,24737
251,Coups et blessures volontaires,21,94,1175
252,Coups et blessures volontaires,22,1,3221
253,Coups et blessures volontaires,22,2,2779
254,Coups et blessures volontaires,22,3,2742
255,Coups et blessures volontaires,22,4,5904
256,Coups et blessures volontaires,22,6,1829
257,Coups et blessures volontaires,22,11,64122
258,Coups et blessures volontaires,22,24,10359
259,Coups et blessures volontaires,22,27,11603
260,Coups et blessures volontaires,22,28,14286
261,Coups et blessures volontaires,22,32,34706
262,Coups et blessures volontaires,22,44,25681
263,Coups et blessures volontaires,22,52,14161
264,Coups et blessures volontaires,22,53,12561
265,Coups et blessures volontaires,22,75,25386
266,Coups et blessures volontaires,22,76,27375
267,Coups et blessures volontaires,22,84,34338
268,Coups et blessures volontaires,22,93,27772
269,Coups et blessures volontaires,22,94,1331
270,Coups et blessures volontaires,23,1,3278
271,Coups et blessures volontaires,23,2,2996
272,Coups et blessures volontaires,23,3,2639
273,Coups et blessures volontaires,23,4,6561
274,Coups et blessures volontaires,23,6,1887
275,Coups et blessures volontaires,23,11,65453
276,Coups et blessures volontaires,23,24,11325
277,Coups et blessures volontaires,23,27,12493
278,Coups et blessures volontaires,23,28,16013
279,Coups et blessures volontaires,23,32,36843
280,Coups et blessures volontaires,23,44,27015
281,Coups et blessures volontaires,23,52,14513
282,Coups et blessures volontaires,23,53,13256
283,Coups et blessures volontaires,23,75,26394
284,Coups et blessures volontaires,23,76,28684
285,Coups et blessures volontaires,23,84,35740
286,Coups et blessures volontaires,23,93,28288
287,Coups et blessures volontaires,23,94,1512
288,Coups et blessures volontaires intrafamiliaux,16,1,946
289,Coups et blessures volontaires intrafamiliaux,16,2,806
290,Coups et blessures volontaires intrafamiliaux,16,3,751
291,Coups et blessures volontaires intrafamiliaux,16,4,1997
292,Coups et blessures volontaires intrafamiliaux,16,6,274
293,Coups et blessures volontaires intrafamiliaux,16,11,21186
294,Coups et blessures volontaires intrafamiliaux,16,24,3208
295,Coups et blessures volontaires intrafamiliaux,16,27,3630
296,Coups et blessures volontaires intrafamiliaux,16,28,4438
297,Coups et blessures volontaires intrafamiliaux,16,32,10838
298,Coups et blessures volontaires intrafamiliaux,16,44,7208
299,Coups et blessures volontaires intrafamiliaux,16,52,4151
300,Coups et blessures volontaires intrafamiliaux,16,53,3348
301,Coups et blessures volontaires intrafamiliaux,16,75,6633
302,Coups et blessures volontaires intrafamiliaux,16,76,7505
303,Coups et blessures volontaires intrafamiliaux,16,84,9500
304,Coups et blessures volontaires intrafamiliaux,16,93,8298
305,Coups et blessures volontaires intrafamiliaux,16,94,362
306,Coups et blessures volontaires intrafamiliaux,17,1,889
307,Coups et blessures volontaires intrafamiliaux,17,2,835
308,Coups et blessures volontaires intrafamiliaux,17,3,747
309,Coups et blessures volontaires intrafamiliaux,17,4,2032
310,Coups et blessures volontaires intrafamiliaux,17,6,292
311,Coups et blessures volontaires intrafamiliaux,17,11,21529
312,Coups et blessures volontaires intrafamiliaux,17,24,3324
313,Coups et blessures volontaires intrafamiliaux,17,27,3802
314,Coups et blessures volontaires intrafamiliaux,17,28,4412
315,Coups et blessures volontaires intrafamiliaux,17,32,10825
316,Coups et blessures volontaires intrafamiliaux,17,44,7512
317,Coups et blessures volontaires intrafamiliaux,17,52,4336
318,Coups et blessures volontaires intrafamiliaux,17,53,3513
319,Coups et blessures volontaires intrafamiliaux,17,75,6747
320,Coups et blessures volontaires intrafamiliaux,17,76,7695
321,Coups et blessures volontaires intrafamiliaux,17,84,9290
322,Coups et blessures volontaires intrafamiliaux,17,93,8238
323,Coups et blessures volontaires intrafamiliaux,17,94,359
324,Coups et blessures volontaires intrafamiliaux,18,1,1014
325,Coups et blessures volontaires intrafamiliaux,18,2,968
326,Coups et blessures volontaires intrafamiliaux,18,3,769
327,Coups et blessures volontaires intrafamiliaux,18,4,2191
328,Coups et blessures volontaires intrafamiliaux,18,6,277
329,Coups et blessures volontaires intrafamiliaux,18,11,22462
330,Coups et blessures volontaires intrafamiliaux,18,24,3517
331,Coups et blessures volontaires intrafamiliaux,18,27,4098
332,Coups et blessures volontaires intrafamiliaux,18,28,4659
333,Coups et blessures volontaires intrafamiliaux,18,32,12009
334,Coups et blessures volontaires intrafamiliaux,18,44,8187
335,Coups et blessures volontaires intrafamiliaux,18,52,4688
336,Coups et blessures volontaires intrafamiliaux,18,53,3813
337,Coups et blessures volontaires intrafamiliaux,18,75,7457
338,Coups et blessures volontaires intrafamiliaux,18,76,8379
339,Coups et blessures volontaires intrafamiliaux,18,84,10642
340,Coups et blessures volontaires intrafamiliaux,18,93,9136
341,Coups et blessures volontaires intrafamiliaux,18,94,384
342,Coups et blessures volontaires intrafamiliaux,19,1,1132
343,Coups et blessures volontaires intrafamiliaux,19,2,1030
344,Coups et blessures volontaires intrafamiliaux,19,3,905
345,Coups et blessures volontaires intrafamiliaux,19,4,2464
346,Coups et blessures volontaires intrafamiliaux,19,6,373
347,Coups et blessures volontaires intrafamiliaux,19,11,25128
348,Coups et blessures volontaires intrafamiliaux,19,24,4233
349,Coups et blessures volontaires intrafamiliaux,19,27,4638
350,Coups et blessures volontaires intrafamiliaux,19,28,5230
351,Coups et blessures volontaires intrafamiliaux,19,32,13979
352,Coups et blessures volontaires intrafamiliaux,19,44,9615
353,Coups et blessures volontaires intrafamiliaux,19,52,5417
354,Coups et blessures volontaires intrafamiliaux,19,53,4409
355,Coups et blessures volontaires intrafamiliaux,19,75,8623
356,Coups et blessures volontaires intrafamiliaux,19,76,9450
357,Coups et blessures volontaires intrafamiliaux,19,84,12527
358,Coups et blessures volontaires intrafamiliaux,19,93,10646
359,Coups et blessures volontaires intrafamiliaux,19,94,527
360,Coups et blessures volontaires intrafamiliaux,20,1,1401
361,Coups et blessures volontaires intrafamiliaux,20,2,1106
362,Coups et blessures volontaires intrafamiliaux,20,3,1032
363,Coups et blessures volontaires intrafamiliaux,20,4,2712
364,Coups et blessures volontaires intrafamiliaux,20,6,361
365,Coups et blessures volontaires intrafamiliaux,20,11,27160
366,Coups et blessures volontaires intrafamiliaux,20,24,4604
367,Coups et blessures volontaires intrafamiliaux,20,27,5021
368,Coups et blessures volontaires intrafamiliaux,20,28,5564
369,Coups et blessures volontaires intrafamiliaux,20,32,14724
370,Coups et blessures volontaires intrafamiliaux,20,44,10544
371,Coups et blessures volontaires intrafamiliaux,20,52,6345
372,Coups et blessures volontaires intrafamiliaux,20,53,5705
373,Coups et blessures volontaires intrafamiliaux,20,75,9774
374,Coups et blessures volontaires intrafamiliaux,20,76,10778
375,Coups et blessures volontaires intrafamiliaux,20,84,13780
376,Coups et blessures volontaires intrafamiliaux,20,93,11441
377,Coups et blessures volontaires intrafamiliaux,20,94,569
378,Coups et blessures volontaires intrafamiliaux,21,1,1471
379,Coups et blessures volontaires intrafamiliaux,21,2,1272
380,Coups et blessures volontaires intrafamiliaux,21,3,1213
381,Coups et blessures volontaires intrafamiliaux,21,4,3184
382,Coups et blessures volontaires intrafamiliaux,21,6,518
383,Coups et blessures volontaires intrafamiliaux,21,11,30150
384,Coups et blessures volontaires intrafamiliaux,21,24,5337
385,Coups et blessures volontaires intrafamiliaux,21,27,5576
386,Coups et blessures volontaires intrafamiliaux,21,28,6885
387,Coups et blessures volontaires intrafamiliaux,21,32,17605
388,Coups et blessures volontaires intrafamiliaux,21,44,12741
389,Coups et blessures volontaires intrafamiliaux,21,52,6772
390,Coups et blessures volontaires intrafamiliaux,21,53,5854
391,Coups et blessures volontaires intrafamiliaux,21,75,12130
392,Coups et blessures volontaires intrafamiliaux,21,76,12139
393,Coups et blessures volontaires intrafamiliaux,21,84,15547
394,Coups et blessures volontaires intrafamiliaux,21,93,12697
395,Coups et blessures volontaires intrafamiliaux,21,94,585
396,Coups et blessures volontaires intrafamiliaux,22,1,1735
397,Coups et blessures volontaires intrafamiliaux,22,2,1476
398,Coups et blessures volontaires intrafamiliaux,22,3,1293
399,Coups et blessures volontaires intrafamiliaux,22,4,3719
400,Coups et blessures volontaires intrafamiliaux,22,6,568
401,Coups et blessures volontaires intrafamiliaux,22,11,35503
402,Coups et blessures volontaires intrafamiliaux,22,24,5949
403,Coups et blessures volontaires intrafamiliaux,22,27,6399
404,Coups et blessures volontaires intrafamiliaux,22,28,8105
405,Coups et blessures volontaires intrafamiliaux,22,32,20999
406,Coups et blessures volontaires intrafamiliaux,22,44,14560
407,Coups et blessures volontaires intrafamiliaux,22,52,7799
408,Coups et blessures volontaires intrafamiliaux,22,53,7019
409,Coups et blessures volontaires intrafamiliaux,22,75,14202
410,Coups et blessures volontaires intrafamiliaux,22,76,14407
411,Coups et blessures volontaires intrafamiliaux,22,84,17874
412,Coups et blessures volontaires intrafamiliaux,22,93,14841
413,Coups et blessures volontaires intrafamiliaux,22,94,708
414,Coups et blessures volontaires intrafamiliaux,23,1,1716
