,classe,annee,Code.région,faits
889,Vols violents sans arme,17,27,1078
890,Vols violents sans arme,17,28,2059
891,Vols violents sans arme,17,32,6440
892,Vols violents sans arme,17,44,2912
893,Vols violents sans arme,17,52,2346
894,Vols violents sans arme,17,53,1591
895,Vols violents sans arme,17,75,3415
896,Vols violents sans arme,17,76,6626
897,Vols violents sans arme,17,84,6950
898,Vols violents sans arme,17,93,7850
899,Vols violents sans arme,17,94,107
900,Vols violents sans arme,18,1,571
901,Vols violents sans arme,18,2,472
902,Vols violents sans arme,18,3,805
903,Vols violents sans arme,18,4,908
904,Vols violents sans arme,18,6,412
905,Vols violents sans arme,18,11,39260
906,Vols violents sans arme,18,24,1413
907,Vols violents sans arme,18,27,921
908,Vols violents sans arme,18,28,2071
909,Vols violents sans arme,18,32,6014
910,Vols violents sans arme,18,44,2659
911,Vols violents sans arme,18,52,2427
912,Vols violents sans arme,18,53,1584
913,Vols violents sans arme,18,75,3328
914,Vols violents sans arme,18,76,5779
915,Vols violents sans arme,18,84,6597
916,Vols violents sans arme,18,93,7655
917,Vols violents sans arme,18,94,96
918,Vols violents sans arme,19,1,577
919,Vols violents sans arme,19,2,360
920,Vols violents sans arme,19,3,870
921,Vols violents sans arme,19,4,665
922,Vols violents sans arme,19,6,426
923,Vols violents sans arme,19,11,39011
924,Vols violents sans arme,19,24,1305
925,Vols violents sans arme,19,27,862
926,Vols violents sans arme,19,28,2096
927,Vols violents sans arme,19,32,5485
928,Vols violents sans arme,19,44,2425
929,Vols violents sans arme,19,52,3011
930,Vols violents sans arme,19,53,1475
931,Vols violents sans arme,19,75,3560
932,Vols violents sans arme,19,76,5318
933,Vols violents sans arme,19,84,6262
934,Vols violents sans arme,19,93,7094
935,Vols violents sans arme,19,94,88
936,Vols violents sans arme,20,1,381
937,Vols violents sans arme,20,2,295
938,Vols violents sans arme,20,3,697
939,Vols violents sans arme,20,4,430
940,Vols violents sans arme,20,6,571
941,Vols violents sans arme,20,11,32337
942,Vols violents sans arme,20,24,971
943,Vols violents sans arme,20,27,767
944,Vols violents sans arme,20,28,1542
945,Vols violents sans arme,20,32,4142
946,Vols violents sans arme,20,44,1951
947,Vols violents sans arme,20,52,2222
948,Vols violents sans arme,20,53,1158
949,Vols violents sans arme,20,75,2881
950,Vols violents sans arme,20,76,4005
951,Vols violents sans arme,20,84,5530
952,Vols violents sans arme,20,93,5693
953,Vols violents sans arme,20,94,51
954,Vols violents sans arme,21,1,278
955,Vols violents sans arme,21,2,311
956,Vols violents sans arme,21,3,874
957,Vols violents sans arme,21,4,409
958,Vols violents sans arme,21,6,541
959,Vols violents sans arme,21,11,29820
960,Vols violents sans arme,21,24,1026
961,Vols violents sans arme,21,27,761
962,Vols violents sans arme,21,28,1329
963,Vols violents sans arme,21,32,3953
964,Vols violents sans arme,21,44,1797
965,Vols violents sans arme,21,52,1846
966,Vols violents sans arme,21,53,1005
967,Vols violents sans arme,21,75,2591
968,Vols violents sans arme,21,76,3818
969,Vols violents sans arme,21,84,6322
970,Vols violents sans arme,21,93,5336
971,Vols violents sans arme,21,94,54
972,Vols violents sans arme,22,1,330
973,Vols violents sans arme,22,2,245
974,Vols violents sans arme,22,3,608
975,Vols violents sans arme,22,4,423
976,Vols violents sans arme,22,6,493
977,Vols violents sans arme,22,11,26383
978,Vols violents sans arme,22,24,1105
979,Vols violents sans arme,22,27,766
980,Vols violents sans arme,22,28,1760
981,Vols violents sans arme,22,32,3849
982,Vols violents sans arme,22,44,2086
983,Vols violents sans arme,22,52,1762
984,Vols violents sans arme,22,53,1237
985,Vols violents sans arme,22,75,2687
986,Vols violents sans arme,22,76,3793
987,Vols violents sans arme,22,84,6126
988,Vols violents sans arme,22,93,5741
989,Vols violents sans arme,22,94,56
990,Vols violents sans arme,23,1,415
991,Vols violents sans arme,23,2,248
992,Vols violents sans arme,23,3,552
993,Vols violents sans arme,23,4,458
994,Vols violents sans arme,23,6,540
995,Vols violents sans arme,23,11,22221
996,Vols violents sans arme,23,24,978
997,Vols violents sans arme,23,27,794
998,Vols violents sans arme,23,28,1562
999,Vols violents sans arme,23,32,3824
1000,Vols violents sans arme,23,44,2003
1001,Vols violents sans arme,23,52,1644
1002,Vols violents sans arme,23,53,1335
1003,Vols violents sans arme,23,75,2719
1004,Vols violents sans arme,23,76,3847
1005,Vols violents sans arme,23,84,5486
1006,Vols violents sans arme,23,93,5573
1007,Vols violents sans arme,23,94,71
1152,Cambriolages de logement,16,1,2518
1153,Cambriolages de logement,16,2,1401
1154,Cambriolages de logement,16,3,1339
1155,Cambriolages de logement,16,4,2063
1156,Cambriolages de logement,16,6,1108
1157,Cambriolages de logement,16,11,49547
1158,Cambriolages de logement,16,24,8327
1159,Cambriolages de logement,16,27,7858
1160,Cambriolages de logement,16,28,8283
1161,Cambriolages de logement,16,32,21242
1162,Cambriolages de logement,16,44,15430
1163,Cambriolages de logement,16,52,10923
1164,Cambriolages de logement,16,53,6908
1165,Cambriolages de logement,16,75,19520
1166,Cambriolages de logement,16,76,30071
1167,Cambriolages de logement,16,84,36007
1168,Cambriolages de logement,16,93,25695
1169,Cambriolages de logement,16,94,647
1170,Cambriolages de logement,17,1,2380
1171,Cambriolages de logement,17,2,1282
1172,Cambriolages de logement,17,3,1435
1173,Cambriolages de logement,17,4,1896
1174,Cambriolages de logement,17,6,930
1175,Cambriolages de logement,17,11,48914
1176,Cambriolages de logement,17,24,8583
1177,Cambriolages de logement,17,27,7327
1178,Cambriolages de logement,17,28,8029
1179,Cambriolages de logement,17,32,21613
1180,Cambriolages de logement,17,44,14986
1181,Cambriolages de logement,17,52,10942
1182,Cambriolages de logement,17,53,7769
1183,Cambriolages de logement,17,75,21874
1184,Cambriolages de logement,17,76,29125
1185,Cambriolages de logement,17,84,36691
1186,Cambriolages de logement,17,93,28506
1187,Cambriolages de logement,17,94,674
1188,Cambriolages de logement,18,1,1360
1189,Cambriolages de logement,18,2,857
1190,Cambriolages de logement,18,3,1280
1191,Cambriolages de logement,18,4,1659
1192,Cambriolages de logement,18,6,628
1193,Cambriolages de logement,18,11,49745
1194,Cambriolages de logement,18,24,7886
1195,Cambriolages de logement,18,27,7555
1196,Cambriolages de logement,18,28,8103
1197,Cambriolages de logement,18,32,20455
1198,Cambriolages de logement,18,44,14194
1199,Cambriolages de logement,18,52,11172
1200,Cambriolages de logement,18,53,7554
1201,Cambriolages de logement,18,75,19662
1202,Cambriolages de logement,18,76,25103
1203,Cambriolages de logement,18,84,32681
1204,Cambriolages de logement,18,93,26436
1205,Cambriolages de logement,18,94,487
1206,Cambriolages de logement,19,1,1058
1207,Cambriolages de logement,19,2,1384
1208,Cambriolages de logement,19,3,1052
1209,Cambriolages de logement,19,4,1449
1210,Cambriolages de logement,19,6,556
1211,Cambriolages de logement,19,11,49612
1212,Cambriolages de logement,19,24,7379
1213,Cambriolages de logement,19,27,8031
1214,Cambriolages de logement,19,28,7542
1215,Cambriolages de logement,19,32,21276
1216,Cambriolages de logement,19,44,14358
1217,Cambriolages de logement,19,52,11563
1218,Cambriolages de logement,19,53,6840
1219,Cambriolages de logement,19,75,20015
1220,Cambriolages de logement,19,76,25310
1221,Cambriolages de logement,19,84,33120
1222,Cambriolages de logement,19,93,25739
1223,Cambriolages de logement,19,94,377
1224,Cambriolages de logement,20,1,1007
1225,Cambriolages de logement,20,2,800
1226,Cambriolages de logement,20,3,853
1227,Cambriolages de logement,20,4,1002
1228,Cambriolages de logement,20,6,510
1229,Cambriolages de logement,20,11,40715
1230,Cambriolages de logement,20,24,5820
1231,Cambriolages de logement,20,27,5835
1232,Cambriolages de logement,20,28,6192
1233,Cambriolages de logement,20,32,17246
1234,Cambriolages de logement,20,44,10696
1235,Cambriolages de logement,20,52,10386
1236,Cambriolages de logement,20,53,5780
1237,Cambriolages de logement,20,75,17861
1238,Cambriolages de logement,20,76,19334
1239,Cambriolages de logement,20,84,25316
1240,Cambriolages de logement,20,93,19568
1241,Cambriolages de logement,20,94,368
1242,Cambriolages de logement,21,1,933
1243,Cambriolages de logement,21,2,613
1244,Cambriolages de logement,21,3,1113
1245,Cambriolages de logement,21,4,843
1246,Cambriolages de logement,21,6,432
1247,Cambriolages de logement,21,11,40370
1248,Cambriolages de logement,21,24,5993
1249,Cambriolages de logement,21,27,5461
1250,Cambriolages de logement,21,28,5802
1251,Cambriolages de logement,21,32,15807
1252,Cambriolages de logement,21,44,9958
1253,Cambriolages de logement,21,52,9931
1254,Cambriolages de logement,21,53,5767
1255,Cambriolages de logement,21,75,17912
1256,Cambriolages de logement,21,76,18658
1257,Cambriolages de logement,21,84,27212
1258,Cambriolages de logement,21,93,22747
1259,Cambriolages de logement,21,94,340
1260,Cambriolages de logement,22,1,1004
1261,Cambriolages de logement,22,2,699
1262,Cambriolages de logement,22,3,1044
1263,Cambriolages de logement,22,4,894
1264,Cambriolages de logement,22,6,448
1265,Cambriolages de logement,22,11,46319
1266,Cambriolages de logement,22,24,6601
1267,Cambriolages de logement,22,27,6193
1268,Cambriolages de logement,22,28,6506
1269,Cambriolages de logement,22,32,16280
1270,Cambriolages de logement,22,44,11579
1271,Cambriolages de logement,22,52,11987
1272,Cambriolages de logement,22,53,8146
1273,Cambriolages de logement,22,75,19602
1274,Cambriolages de logement,22,76,19754
1275,Cambriolages de logement,22,84,30593
1276,Cambriolages de logement,22,93,23466
1277,Cambriolages de logement,22,94,343
1278,Cambriolages de logement,23,1,1061
1279,Cambriolages de logement,23,2,945
1280,Cambriolages de logement,23,3,1123
1281,Cambriolages de logement,23,4,720
1282,Cambriolages de logement,23,6,405
1283,Cambriolages de logement,23,11,45145
1284,Cambriolages de logement,23,24,8201
1285,Cambriolages de logement,23,27,6700
1286,Cambriolages de logement,23,28,7999
1287,Cambriolages de logement,23,32,17212
1288,Cambriolages de logement,23,44,13552
1289,Cambriolages de logement,23,52,11940
1290,Cambriolages de logement,23,53,8899
1291,Cambriolages de logement,23,75,20480
1292,Cambriolages de logement,23,76,20822
1293,Cambriolages de logement,23,84,28632
1294,Cambriolages de logement,23,93,22849
1295,Cambriolages de logement,23,94,393
1728,Destructions et dégradations volontaires,16,1,2759
1729,Destructions et dégradations volontaires,16,2,2447
1730,Destructions et dégradations volontaires,16,3,1599
1731,Destructions et dégradations volontaires,16,4,5582
1732,Destructions et dégradations volontaires,16,6,1221
1733,Destructions et dégradations volontaires,16,11,129099
1734,Destructions et dégradations volontaires,16,24,20671
1735,Destructions et dégradations volontaires,16,27,22626
1736,Destructions et dégradations volontaires,16,28,26993
1737,Destructions et dégradations volontaires,16,32,71762
1738,Destructions et dégradations volontaires,16,44,47536
1739,Destructions et dégradations volontaires,16,52,31289
1740,Destructions et dégradations volontaires,16,53,25521
1741,Destructions et dégradations volontaires,16,75,49254
1742,Destructions et dégradations volontaires,16,76,53160
1743,Destructions et dégradations volontaires,16,84,70436
1744,Destructions et dégradations volontaires,16,93,61354
1745,Destructions et dégradations volontaires,16,94,3417
1746,Destructions et dégradations volontaires,17,1,2821
1747,Destructions et dégradations volontaires,17,2,2287
1748,Destructions et dégradations volontaires,17,3,1558
1749,Destructions et dégradations volontaires,17,4,5342
1750,Destructions et dégradations volontaires,17,6,937
1751,Destructions et dégradations volontaires,17,11,125799
1752,Destructions et dégradations volontaires,17,24,20335
1753,Destructions et dégradations volontaires,17,27,23026
1754,Destructions et dégradations volontaires,17,28,28016
1755,Destructions et dégradations volontaires,17,32,68188
1756,Destructions et dégradations volontaires,17,44,47760
1757,Destructions et dégradations volontaires,17,52,31000
1758,Destructions et dégradations volontaires,17,53,26174
1759,Destructions et dégradations volontaires,17,75,51242
1760,Destructions et dégradations volontaires,17,76,53944
1761,Destructions et dégradations volontaires,17,84,72519
1762,Destructions et dégradations volontaires,17,93,60636
1763,Destructions et dégradations volontaires,17,94,3303
1764,Destructions et dégradations volontaires,18,1,2546
1765,Destructions et dégradations volontaires,18,2,2186
1766,Destructions et dégradations volontaires,18,3,1301
1767,Destructions et dégradations volontaires,18,4,5358
1768,Destructions et dégradations volontaires,18,6,833
1769,Destructions et dégradations volontaires,18,11,119389
1770,Destructions et dégradations volontaires,18,24,20336
1771,Destructions et dégradations volontaires,18,27,23026
1772,Destructions et dégradations volontaires,18,28,26904
1773,Destructions et dégradations volontaires,18,32,64196
1774,Destructions et dégradations volontaires,18,44,47274
1775,Destructions et dégradations volontaires,18,52,30885
1776,Destructions et dégradations volontaires,18,53,24927
1777,Destructions et dégradations volontaires,18,75,50212
1778,Destructions et dégradations volontaires,18,76,52343
1779,Destructions et dégradations volontaires,18,84,72594
1780,Destructions et dégradations volontaires,18,93,55857
1781,Destructions et dégradations volontaires,18,94,3276
1782,Destructions et dégradations volontaires,19,1,2683
1783,Destructions et dégradations volontaires,19,2,2292
1784,Destructions et dégradations volontaires,19,3,1402
1785,Destructions et dégradations volontaires,19,4,4854
1786,Destructions et dégradations volontaires,19,6,1115
1787,Destructions et dégradations volontaires,19,11,121753
1788,Destructions et dégradations volontaires,19,24,19550
1789,Destructions et dégradations volontaires,19,27,22250
